Ранг,Документ,Сходство,Фрагмент
1,10,0.5656,АО «Корпорация МСП» Льготный лизинг оборудования (через «МСП Лизинг») Выдается микро- и малым предприятиям по определенному перечню ОКВЭД Сумма финансирования: до 200 млн ₽ Ставка: до 8% годовых на срок до 5 лет
2,65,0.0906,"(находящихся в государственной собственности области) Льготная аренда за пользование объектами Льготный коэффициент при расчете культурного наследия, размера арендной платы 0,3. для физических и юридических лиц, Льготная арендная плата действует вложивших свои средства в работы по до полного погашения документально сохранению арендуемых объектов подтвержденных расходов арендатора. Если сумма расходов арендатора на работы по сохранению объекта культурного наследия выше суммы арендной платы до око"
3,18,0.0859,Министерство промышленности и торговли РФ Поддержка российских организаций при закупке российского оборудования Возмещение до 100% разницы стоимости российского и иностранного оборудования Размер компенсации: до 30% (срок субсидирования не более 1 года при сроке действия договора не менее 3 лет); от 30 до 60% (срок субсидирования не более 2 лет при сроке действия договора не менее 5 лет); от 60 до 100% (срок субсидирования не более 3 лет при сроке действия договора не менее 7 лет) Фонд пенсионно
4,8,0.0836,"Займ для финансирования первоначального взноса (аванса) лизингополучателя на приобретение промышленного оборудования Лимиты кредитования: от 5 млн ₽ до 500 млн ₽ Ставка: 1% (на промышленное оборудование, произведенное в России); 5% годовых (в остальных случаях) на срок до 5 лет Кластерная инвестиционная платформа На инвестиционные проекты, направленные на производство приоритетной продукции Лимиты кредитования: от 1 млрд ₽ до 100 млрд ₽ Ставка: до 11,5% годовых (30% ключевой ставки ЦБ + 3%) на с"
5,0,0.0722,"Правительство РФ Программа льготного кредитования МСП на инвестиционные цели (через уполномоченные кредитные организации) Программа для субъектов МСП и самозанятых (в том числе для субъектов креативных индустрий) Лимиты кредитования: до 2 млрд ₽ Ставка: до 11% на срок до 10 лет АО «Корпорация МСП» и Банк России Программы стимулирования кредитования для субъектов МСП (через уполномоченные банки) Лимиты кредитования: до 2 млрд ₽ Ставка: до 17,5% годовых* для средних, до 18,5%* для малых, до 19%* д"
