width,height,brightness
1280,720,99.60242730034722
1280,720,78.45506293402778
1280,720,75.03314995659723
1280,720,107.13505967881945
1280,720,123.12896484375
1280,720,96.49175564236111
1280,720,90.55536892361111
1280,720,18.190399305555555
1280,720,108.64086480034722
1280,720,115.27783311631944
1280,720,116.53451171875
1280,720,101.77228081597222
1280,720,106.73532660590278
1280,720,150.7907150607639
1280,720,102.14343858506945
1280,720,96.06957899305556
1280,720,127.20328559027777
1280,720,113.11808702256944
1280,720,86.43656792534722
1280,720,104.44233289930555
1280,720,83.65763237847223
1280,720,132.80419162326388
1280,720,124.09679036458333
1280,720,71.04720811631944
1280,720,122.56865342881945
1280,720,91.19032443576388
1280,720,126.24940755208333
1280,720,84.13389865451389
1280,720,96.94572265625
1280,720,91.25467339409722
1280,720,97.54537760416666
1280,720,89.22053385416666
1280,720,103.93451605902777
1280,720,120.34970269097222
1280,720,106.52086154513889
1280,720,92.02858072916666
1280,720,104.1455078125
1280,720,132.46734809027777
