;step;amount;oldbalanceOrg;newbalanceOrig;oldbalanceDest;newbalanceDest;isFraud;isFlaggedFraud
count;6362620.0;6362620.0;6362620.0;6362620.0;6362620.0;6362620.0;6362620.0;6362620.0
mean;243.39724563151657;179861.90354913071;833883.1040744866;855113.6685785886;1100701.666519649;1224996.3982019294;0.001290820448180152;2.51468734577894e-06
std;142.33197104912983;603858.2314629357;2888242.6730375565;2924048.502954266;3399180.1129944758;3674128.9421196375;0.03590479680160415;0.0015857747057365491
min;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;156.0;13389.57;0.0;0.0;0.0;0.0;0.0;0.0
50%;239.0;74871.94;14208.0;0.0;132705.66499999998;214661.44;0.0;0.0
75%;335.0;208721.4775;107315.175;144258.41;943036.7075;1111909.25;0.0;0.0
max;743.0;92445516.64;59585040.37;49585040.37;356015889.35;356179278.92;1.0;1.0
